Episode,SmartAgent,ThomsonSamplingAgent
1,17,17
2,16,10
3,16,13
4,17,7
5,20,20
6,19,9
7,15,12
8,16,17
9,17,15
10,12,13
11,9,7
12,13,20
13,10,16
14,13,12
15,19,14
16,19,18
17,10,12
18,17,12
19,9,11
20,16,11
21,21,16
22,14,22
23,18,10
24,14,14
25,25,15
26,19,13
27,15,15
28,9,13
29,13,17
30,15,15
31,19,21
32,9,8
33,18,11
34,12,16
35,7,14
36,14,8
37,10,17
38,10,15
39,23,12
40,13,10
41,16,9
42,12,11
43,10,11
44,15,14
45,17,22
46,21,18
47,17,10
48,7,20
49,16,12
50,11,16
51,10,15
52,21,18
53,20,14
54,14,21
55,12,18
56,15,15
57,11,15
58,12,8
59,13,19
60,22,14
61,13,18
62,18,10
63,14,16
64,15,20
65,22,10
66,13,15
67,13,12
68,21,18
69,18,16
70,19,17
71,20,16
72,17,17
73,21,16
74,25,16
75,14,14
76,11,16
77,7,16
78,24,21
79,13,16
80,11,18
81,17,21
82,16,15
83,9,14
84,23,18
85,18,23
86,13,20
87,14,11
88,18,11
89,18,15
90,17,9
91,8,11
92,15,14
93,8,10
94,25,10
95,18,14
96,10,13
97,20,21
98,16,18
99,19,15
100,18,10
