episode,shots,reward,mode_switches,moving_avg_shots,moving_avg_rewards
1,80,28.89999999999997,4,80.0,28.89999999999997
2,54,34.49999999999999,2,67.0,31.69999999999998
3,88,31.099999999999966,2,74.0,31.499999999999975
4,40,32.89999999999999,2,65.5,31.84999999999998
5,57,37.19999999999997,2,63.8,32.91999999999997
6,41,38.79999999999998,3,60.0,33.89999999999998
7,66,36.29999999999998,5,60.857142857142854,34.24285714285712
8,70,32.899999999999956,3,62.0,34.074999999999974
9,68,33.099999999999994,4,62.666666666666664,33.96666666666665
10,61,33.8,4,62.5,33.94999999999998
11,56,28.300000000000004,3,61.90909090909091,33.43636363636362
12,68,36.09999999999992,3,62.416666666666664,33.65833333333331
13,63,30.599999999999955,4,62.46153846153846,33.4230769230769
14,47,35.19999999999999,4,61.357142857142854,33.549999999999976
15,61,33.79999999999995,4,61.333333333333336,33.56666666666664
16,86,28.29999999999999,3,62.875,33.237499999999976
17,79,28.999999999999975,4,63.8235294117647,32.98823529411762
18,44,35.49999999999997,5,62.72222222222222,33.12777777777776
19,70,35.89999999999999,2,63.10526315789474,33.27368421052629
20,55,34.39999999999999,3,62.7,33.32999999999998
21,88,34.099999999999945,4,63.904761904761905,33.36666666666664
22,45,38.39999999999996,4,63.04545454545455,33.59545454545452
23,121,24.79999999999999,2,65.56521739130434,33.21304347826084
24,60,33.89999999999998,2,65.33333333333333,33.24166666666664
25,69,32.99999999999996,2,65.48,33.23199999999998
26,107,32.199999999999974,4,67.07692307692308,33.192307692307665
27,103,32.59999999999992,3,68.4074074074074,33.17037037037034
28,138,26.099999999999874,2,70.89285714285714,32.91785714285711
29,75,32.39999999999999,5,71.03448275862068,32.89999999999997
30,75,29.399999999999977,3,71.16666666666667,32.7833333333333
31,73,35.599999999999966,4,71.2258064516129,32.87419354838706
32,58,34.09999999999999,4,70.8125,32.912499999999966
33,47,29.2,4,70.0909090909091,32.79999999999997
34,92,27.700000000000003,6,70.73529411764706,32.64999999999997
35,72,29.699999999999967,3,70.77142857142857,32.56571428571426
36,82,31.69999999999996,5,71.08333333333333,32.54166666666664
37,55,34.39999999999998,4,70.64864864864865,32.59189189189187
38,88,28.10000000000002,2,71.10526315789474,32.473684210526294
39,104,26.499999999999908,5,71.94871794871794,32.320512820512796
40,96,27.29999999999996,4,72.55,32.19499999999997
41,117,25.20000000000003,2,73.63414634146342,32.02439024390241
42,65,30.399999999999945,2,73.42857142857143,31.985714285714256
43,92,27.700000000000006,2,73.86046511627907,31.886046511627878
44,94,33.49999999999996,2,74.31818181818181,31.922727272727244
45,57,37.19999999999996,2,73.93333333333334,32.03999999999997
46,51,34.8,2,73.43478260869566,32.09999999999997
47,88,31.09999999999993,4,73.74468085106383,32.07872340425529
48,88,25.09999999999996,3,74.04166666666667,31.933333333333305
49,38,27.099999999999998,2,73.3061224489796,31.83469387755099
50,81,28.800000000000008,2,73.46,31.77399999999997
51,62,33.7,3,73.23529411764706,31.811764705882325
52,112,31.699999999999918,6,73.98076923076923,31.809615384615352
53,35,33.39999999999998,2,73.24528301886792,31.8396226415094
54,60,30.899999999999988,4,73.0,31.82222222222219
55,100,26.899999999999913,2,73.49090909090908,31.73272727272724
56,73,29.600000000000016,2,73.48214285714286,31.694642857142828
57,66,33.299999999999955,6,73.35087719298245,31.72280701754383
58,38,39.09999999999999,2,72.74137931034483,31.84999999999997
59,110,28.8999999999999,2,73.37288135593221,31.799999999999965
60,120,27.899999999999878,2,74.15,31.734999999999964
61,74,29.499999999999996,4,74.14754098360656,31.69836065573767
62,49,31.999999999999986,4,73.74193548387096,31.703225806451577
63,96,27.299999999999905,4,74.0952380952381,31.633333333333297
64,56,31.299999999999976,3,73.8125,31.62812499999997
65,28,34.1,3,73.1076923076923,31.666153846153815
66,117,25.199999999999918,4,73.77272727272727,31.568181818181785
67,59,27.999999999999986,2,73.55223880597015,31.514925373134293
68,43,38.59999999999997,4,73.1029411764706,31.61911764705879
69,84,34.49999999999993,6,73.26086956521739,31.660869565217357
70,52,28.69999999999996,2,72.95714285714286,31.618571428571393
71,81,31.80000000000002,5,73.07042253521126,31.621126760563346
72,63,33.59999999999999,5,72.93055555555556,31.648611111111084
73,98,30.099999999999934,3,73.27397260273973,31.627397260273945
