episode,shots
1,74
2,81
3,100
4,51
5,66
6,83
7,64
8,54
9,75
10,71
11,82
12,67
13,74
14,78
15,72
16,67
17,59
18,98
19,88
20,86
21,55
22,73
23,62
24,66
25,50
26,91
27,63
28,45
29,83
30,49
31,59
32,97
33,71
34,71
35,64
36,58
37,76
38,55
39,63
40,81
41,65
42,62
43,41
44,67
45,89
46,54
47,62
48,99
49,50
50,73
51,88
52,49
53,69
54,72
55,73
56,48
57,64
58,56
59,57
60,52
61,55
62,65
63,65
64,55
65,64
66,58
67,58
68,100
69,60
70,72
71,56
72,89
73,59
74,47
75,43
76,67
77,93
78,68
79,67
80,62
81,92
82,99
83,78
84,69
85,96
86,74
87,75
88,72
89,80
90,79
91,62
92,85
93,65
94,57
95,62
96,80
97,95
98,55
99,95
100,52
101,56
102,60
103,61
104,89
105,66
106,93
107,52
108,73
109,63
110,59
111,70
112,77
113,74
114,86
115,68
116,88
117,53
118,64
119,63
120,71
121,85
122,52
123,77
124,76
125,57
126,70
127,47
128,54
129,68
130,45
131,63
132,51
133,65
134,69
135,56
136,75
137,87
138,77
139,93
140,72
141,44
142,50
143,100
144,79
145,54
146,55
147,64
148,40
149,58
150,55
151,95
152,78
153,76
154,60
155,67
156,51
157,63
158,56
159,90
160,82
161,55
162,86
163,58
164,81
165,75
166,89
167,90
168,51
169,75
170,98
171,67
172,74
173,71
174,77
175,72
176,80
177,69
178,74
179,81
180,66
181,82
182,98
183,74
184,81
185,56
186,83
187,86
188,77
189,80
190,96
191,67
192,46
193,91
194,97
195,61
196,97
197,71
198,53
199,66
200,75
201,64
202,56
203,97
204,76
205,88
206,90
207,85
208,55
209,72
210,72
211,37
212,54
213,80
214,75
215,88
216,69
217,76
218,72
219,78
220,46
221,100
222,76
223,55
224,65
225,90
226,81
227,71
228,65
229,85
230,75
231,60
232,90
233,56
234,72
235,47
236,68
237,84
238,42
239,81
240,93
241,80
242,74
243,60
244,69
245,44
246,74
247,88
248,100
249,76
250,61
251,57
252,59
253,78
254,71
255,53
256,63
257,51
258,78
259,53
260,52
261,70
262,71
263,64
264,74
265,93
266,55
267,93
268,93
269,76
270,75
271,82
272,74
273,56
274,81
275,86
276,64
277,55
278,63
279,79
280,71
281,72
282,52
283,82
284,82
285,88
286,72
287,64
288,61
289,68
290,81
291,62
292,62
293,98
294,98
295,54
296,81
297,87
298,75
299,97
300,64
301,91
302,67
303,79
304,54
305,65
306,60
307,40
308,80
309,59
310,73
311,70
312,62
313,76
314,56
315,73
316,76
317,67
318,47
319,59
320,69
321,93
322,74
323,72
324,90
325,63
326,91
327,82
328,90
329,84
330,54
331,84
332,72
333,64
334,63
335,84
336,81
337,68
338,77
339,83
340,71
341,79
342,58
343,81
344,92
345,71
346,75
347,58
348,83
349,62
350,83
351,63
352,55
353,56
354,98
355,55
356,64
357,50
358,63
359,79
360,100
361,37
362,68
363,64
364,77
365,46
366,86
367,86
368,58
369,61
370,89
371,91
372,79
373,66
374,67
375,65
376,85
377,90
378,67
379,79
380,65
381,73
382,59
383,53
384,69
385,50
386,92
387,89
388,70
389,64
390,74
391,75
392,65
393,74
394,54
395,69
396,92
397,53
398,79
399,59
400,97
401,73
402,99
403,75
404,66
405,68
406,78
407,98
408,61
409,84
410,78
411,61
412,90
413,83
414,86
415,42
416,100
417,81
418,89
419,81
420,81
421,76
422,47
423,82
424,81
425,55
426,52
427,57
428,55
429,86
430,54
431,52
432,61
433,57
434,52
435,81
436,92
437,78
438,62
439,81
440,71
441,76
442,84
443,65
444,87
445,70
446,53
447,60
448,69
449,76
450,71
451,43
452,77
453,89
454,76
455,70
456,68
457,92
458,58
459,85
460,62
461,62
462,100
463,75
464,45
465,62
466,71
467,88
468,88
469,70
470,56
471,59
472,91
473,75
474,54
475,53
476,75
477,54
478,94
479,82
480,56
481,68
482,53
483,65
484,72
485,68
486,68
487,84
488,61
489,83
490,96
491,81
492,59
493,76
494,54
495,85
496,91
497,80
498,77
499,85
500,53
501,84
502,83
503,44
504,82
505,74
506,50
507,39
508,57
509,79
510,77
511,94
512,52
513,55
514,73
515,52
516,80
517,53
518,68
519,77
520,80
521,95
522,87
523,77
524,97
525,81
526,80
527,47
528,80
529,71
530,53
531,62
532,79
533,98
534,63
535,72
536,84
537,46
538,71
539,78
540,75
541,50
542,57
543,98
544,74
545,69
546,71
547,66
548,99
549,43
550,58
551,62
552,59
553,58
554,88
555,81
556,76
557,89
558,73
559,64
560,77
561,64
562,80
563,41
564,81
565,75
566,90
567,64
568,82
569,55
570,99
571,64
572,100
573,59
574,87
575,95
576,62
577,51
578,57
579,53
580,98
581,52
582,67
583,75
584,92
585,89
586,55
587,52
588,66
589,46
590,74
591,63
592,64
593,88
594,71
595,55
596,87
597,97
598,96
599,53
600,73
601,61
602,67
603,58
604,62
605,51
606,84
607,48
608,60
609,85
610,49
611,68
612,76
613,72
614,94
615,82
616,60
617,68
618,76
619,58
620,87
621,63
622,76
623,68
624,88
625,56
626,70
627,74
628,74
629,70
630,80
631,72
632,70
633,73
634,66
635,52
636,81
637,58
638,65
639,77
640,81
641,73
642,50
643,56
644,76
645,66
646,63
647,54
648,78
649,95
650,76
651,60
652,75
653,61
654,61
655,78
656,79
657,69
658,60
659,63
660,77
661,61
662,83
663,46
664,50
665,73
666,77
667,69
668,52
669,66
670,71
671,56
672,62
673,50
674,94
675,52
676,65
677,88
678,85
679,70
680,79
681,94
682,68
683,74
684,71
685,73
686,75
687,85
688,83
689,66
690,48
691,78
692,66
693,70
694,92
695,75
696,87
697,52
698,90
699,51
700,54
701,63
702,56
703,75
704,62
705,86
706,66
707,87
708,67
709,53
710,93
711,64
712,63
713,62
714,69
715,68
716,52
717,86
718,66
719,77
720,86
721,51
722,63
723,49
724,55
725,64
726,67
727,76
728,62
729,79
730,97
731,52
732,59
733,59
734,68
735,68
736,63
737,67
738,59
739,70
740,72
741,53
742,77
743,66
744,74
745,43
746,78
747,84
748,62
749,67
750,78
751,50
752,53
753,50
754,73
755,54
756,99
757,79
758,64
759,50
760,75
761,73
762,70
763,44
764,96
765,85
766,89
767,65
768,55
769,56
770,99
771,83
772,74
773,58
774,64
775,94
776,61
777,56
778,95
779,71
780,89
781,65
782,99
783,58
784,72
785,80
786,56
787,70
788,54
789,97
790,75
791,55
792,83
793,90
794,57
795,58
796,67
797,57
798,84
799,63
800,61
801,44
802,58
803,65
804,91
805,68
806,70
807,66
808,56
809,79
810,55
811,52
812,88
813,79
814,83
815,72
816,72
817,84
818,76
819,85
820,96
821,75
822,56
823,61
824,67
825,99
826,50
827,75
828,70
829,83
830,94
831,65
832,44
833,49
834,53
835,77
836,93
837,43
838,59
839,71
840,57
841,51
842,76
843,58
844,96
845,84
846,81
847,56
848,69
849,52
850,61
851,83
852,63
853,91
854,97
855,57
856,85
857,52
858,91
859,94
860,77
861,96
862,90
863,91
864,62
865,83
866,66
867,97
868,93
869,58
870,85
871,60
872,75
873,73
874,76
875,69
876,70
877,83
878,43
879,57
880,55
881,59
882,54
883,94
884,57
885,86
886,66
887,53
888,97
889,99
890,59
891,71
892,51
893,50
894,100
895,96
896,55
897,82
898,74
899,80
900,63
901,81
902,61
903,43
904,56
905,49
906,48
907,79
908,80
909,85
910,78
911,73
912,66
913,79
914,62
915,70
916,90
917,75
918,59
919,81
920,90
921,50
922,61
923,60
924,58
925,50
926,69
927,67
928,82
929,78
930,90
931,100
932,57
933,84
934,42
935,58
936,94
937,88
938,57
939,64
940,59
941,60
942,90
943,51
944,63
945,94
946,68
947,81
948,68
949,98
950,54
951,66
952,66
953,51
954,50
955,49
956,68
957,76
958,44
959,98
960,67
961,81
962,50
963,57
964,76
965,65
966,74
967,58
968,92
969,71
970,69
971,61
972,74
973,86
974,96
975,62
976,85
977,50
978,69
979,59
980,87
981,69
982,47
983,66
984,85
985,65
986,47
987,91
988,83
989,55
990,58
991,80
992,76
993,70
994,71
995,82
996,78
997,68
998,50
999,41
1000,78
