episode,shots,reward
1,22,12
2,16,12
3,17,12
4,20,12
5,14,12
6,18,12
7,21,12
8,15,12
9,17,12
10,19,12
11,23,12
12,18,12
13,19,12
14,14,12
15,7,12
16,19,12
17,10,12
18,23,12
19,17,12
20,16,12
21,21,12
22,16,12
23,18,12
24,19,12
25,17,12
26,15,12
27,18,12
28,22,12
29,20,12
30,13,12
31,8,12
32,15,12
33,17,12
34,20,12
35,12,12
36,21,12
37,9,12
38,13,12
39,22,12
40,12,12
41,8,12
42,22,12
43,12,12
44,17,12
45,25,12
46,16,12
47,18,12
48,13,12
49,22,12
50,18,12
51,9,12
52,17,12
53,20,12
54,18,12
55,21,12
56,11,12
57,19,12
58,16,12
59,21,12
60,20,12
61,17,12
62,16,12
63,14,12
64,16,12
65,17,12
66,19,12
67,13,12
68,16,12
69,21,12
70,11,12
71,16,12
72,22,12
73,7,12
74,13,12
75,10,12
76,19,12
77,23,12
78,11,12
79,18,12
80,12,12
81,12,12
82,15,12
83,16,12
84,21,12
85,21,12
86,17,12
87,11,12
88,16,12
89,11,12
90,15,12
91,11,12
92,18,12
93,14,12
94,13,12
95,17,12
96,23,12
97,15,12
98,19,12
99,15,12
100,17,12
101,10,12
102,11,12
103,15,12
104,21,12
105,11,12
106,19,12
107,15,12
108,18,12
109,24,12
110,16,12
111,20,12
112,15,12
113,21,12
114,22,12
115,20,12
116,16,12
117,15,12
118,18,12
119,13,12
120,15,12
121,15,12
122,20,12
123,21,12
124,24,12
125,13,12
126,16,12
127,15,12
128,14,12
129,11,12
130,12,12
131,17,12
132,16,12
133,23,12
134,14,12
135,15,12
136,17,12
137,12,12
138,20,12
139,18,12
140,15,12
141,8,12
142,19,12
143,14,12
144,15,12
145,6,12
146,14,12
147,17,12
148,23,12
149,15,12
150,18,12
151,22,12
152,19,12
153,14,12
154,20,12
155,19,12
156,15,12
157,23,12
158,15,12
159,23,12
160,14,12
161,16,12
162,17,12
163,12,12
164,12,12
165,16,12
166,14,12
167,19,12
168,22,12
169,15,12
170,17,12
171,13,12
172,15,12
173,16,12
174,22,12
175,17,12
176,22,12
177,17,12
178,18,12
179,12,12
180,18,12
181,17,12
182,11,12
183,14,12
184,21,12
185,19,12
186,16,12
187,16,12
188,16,12
189,11,12
190,25,12
191,13,12
192,17,12
193,14,12
194,16,12
195,17,12
196,12,12
197,15,12
198,18,12
199,13,12
200,17,12
201,14,12
202,23,12
203,23,12
204,12,12
205,16,12
206,18,12
207,17,12
208,18,12
209,19,12
210,14,12
211,11,12
212,25,12
213,16,12
214,18,12
215,8,12
216,13,12
217,14,12
218,13,12
219,15,12
220,16,12
221,13,12
222,21,12
223,20,12
224,18,12
225,17,12
226,21,12
227,17,12
228,12,12
229,18,12
230,19,12
231,8,12
232,15,12
233,12,12
234,18,12
235,16,12
236,22,12
237,19,12
238,12,12
239,20,12
240,12,12
241,22,12
242,18,12
243,12,12
244,14,12
245,24,12
246,18,12
247,18,12
248,14,12
249,24,12
250,24,12
251,16,12
252,21,12
253,24,12
254,14,12
255,14,12
256,13,12
257,15,12
258,15,12
259,13,12
260,16,12
261,18,12
262,13,12
263,10,12
264,16,12
265,18,12
266,19,12
267,20,12
268,19,12
269,20,12
270,21,12
271,16,12
272,17,12
273,25,12
274,15,12
275,17,12
276,16,12
277,16,12
278,18,12
279,14,12
280,12,12
281,22,12
282,16,12
283,17,12
284,20,12
285,8,12
286,23,12
287,12,12
288,16,12
289,13,12
290,14,12
291,14,12
292,21,12
293,13,12
294,14,12
295,16,12
296,22,12
297,10,12
298,20,12
299,20,12
300,12,12
301,13,12
302,21,12
303,18,12
304,11,12
305,11,12
306,17,12
307,13,12
308,15,12
309,18,12
310,12,12
311,19,12
312,10,12
313,13,12
314,16,12
315,14,12
316,18,12
317,12,12
318,11,12
319,12,12
320,15,12
321,22,12
322,21,12
323,21,12
324,20,12
325,13,12
326,14,12
327,11,12
328,17,12
329,15,12
330,21,12
331,20,12
332,13,12
333,19,12
334,13,12
335,20,12
336,17,12
337,14,12
338,15,12
339,20,12
340,16,12
341,17,12
342,23,12
343,14,12
344,11,12
345,22,12
346,20,12
347,11,12
348,16,12
349,15,12
350,14,12
351,20,12
352,21,12
353,25,12
354,17,12
355,15,12
356,16,12
357,22,12
358,14,12
359,20,12
360,23,12
361,15,12
362,17,12
363,15,12
364,14,12
365,9,12
366,18,12
367,18,12
368,21,12
369,19,12
370,15,12
371,18,12
372,17,12
373,14,12
374,11,12
375,15,12
376,21,12
377,18,12
378,15,12
379,15,12
380,23,12
381,19,12
382,13,12
383,21,12
384,20,12
385,15,12
386,22,12
387,13,12
388,12,12
389,21,12
390,23,12
391,15,12
392,12,12
393,14,12
394,12,12
395,15,12
396,11,12
397,11,12
398,17,12
399,17,12
400,15,12
401,17,12
402,21,12
403,23,12
404,13,12
405,12,12
406,16,12
407,14,12
408,17,12
409,22,12
410,22,12
411,17,12
412,21,12
413,14,12
414,19,12
415,13,12
416,12,12
417,19,12
418,17,12
419,15,12
420,22,12
421,15,12
422,23,12
423,17,12
424,23,12
425,23,12
426,17,12
427,21,12
428,13,12
429,18,12
430,17,12
431,17,12
432,19,12
433,15,12
434,17,12
435,24,12
436,14,12
437,14,12
438,15,12
439,12,12
440,17,12
441,19,12
442,18,12
443,18,12
444,16,12
445,15,12
446,18,12
447,18,12
448,21,12
449,17,12
450,16,12
451,24,12
452,21,12
453,16,12
454,12,12
455,24,12
456,20,12
457,20,12
458,24,12
459,16,12
460,16,12
461,14,12
462,16,12
463,20,12
464,19,12
465,19,12
466,13,12
467,22,12
468,24,12
469,15,12
470,17,12
471,16,12
472,25,12
473,22,12
474,12,12
475,21,12
476,10,12
477,12,12
478,23,12
479,20,12
480,20,12
481,17,12
482,21,12
483,18,12
484,9,12
485,11,12
486,24,12
487,21,12
488,18,12
489,13,12
490,8,12
491,18,12
492,20,12
493,15,12
494,22,12
495,23,12
496,14,12
497,14,12
498,18,12
499,12,12
500,13,12
501,13,12
502,22,12
503,16,12
504,13,12
505,14,12
506,23,12
507,9,12
508,18,12
509,21,12
510,13,12
511,13,12
512,22,12
513,15,12
514,20,12
515,11,12
516,25,12
517,19,12
518,21,12
519,12,12
520,16,12
521,14,12
522,19,12
523,18,12
524,13,12
525,17,12
526,19,12
527,8,12
528,16,12
529,22,12
530,23,12
531,23,12
532,21,12
533,22,12
534,10,12
535,15,12
536,23,12
537,23,12
538,21,12
